Date,Close/Last,Volume,Open,High,Low
1/9/2024,$193.02 ,1130871,$196.98 ,$198.24 ,$192.35 
1/8/2024,$197.25 ,1545074,$195.20 ,$197.75 ,$193.32 
1/5/2024,$193.52 ,1395725,$192.62 ,$195.08 ,$192.24 
1/4/2024,$192.58 ,2576773,$190.00 ,$195.52 ,$187.45 
1/3/2024,$187.94 ,977346,$187.34 ,$189.49 ,$185.71 
1/2/2024,$188.80 ,1385808,$188.05 ,$190.28 ,$185.37 
12/29/2023,$187.91 ,1389730,$189.31 ,$189.97 ,$187.89 
12/28/2023,$188.75 ,721931,$191.67 ,$192.44 ,$188.72 
12/27/2023,$190.27 ,742682,$190.36 ,$192.03 ,$190.03 
12/26/2023,$189.88 ,1120965,$189.99 ,$191.42 ,$189.23 
12/22/2023,$189.59 ,1328245,$192.83 ,$193.42 ,$188.56 
12/21/2023,$192.85 ,1556983,$195.31 ,$195.72 ,$192.61 
12/20/2023,$188.71 ,1133972,$190.24 ,$192.25 ,$188.01 
12/19/2023,$190.83 ,1530087,$192.58 ,$193.97 ,$190.21 
12/18/2023,$193.04 ,2576883,$190.74 ,$194.75 ,$189.17 
12/15/2023,$192.17 ,2245951,$195.10 ,$195.46 ,$191.42 
12/14/2023,$196.15 ,2048754,$198.35 ,$200.82 ,$195.52 
12/13/2023,$199.49 ,2161520,$199.02 ,$202.33 ,$196.30 
12/12/2023,$199.00 ,1254512,$197.13 ,$199.99 ,$195.70 
12/11/2023,$197.76 ,1593240,$200.00 ,$200.00 ,$196.32 
12/8/2023,$198.05 ,1729918,$192.26 ,$198.39 ,$191.00 
12/7/2023,$195.82 ,1238718,$193.95 ,$196.30 ,$193.02 
12/6/2023,$193.79 ,1864768,$199.00 ,$202.88 ,$193.58 
12/5/2023,$199.32 ,3133142,$192.90 ,$199.97 ,$191.26 
12/4/2023,$194.17 ,6862758,$193.00 ,$201.42 ,$192.00 
12/1/2023,$180.69 ,1628242,$180.73 ,$183.34 ,$179.66 
11/30/2023,$185.11 ,1597433,$183.03 ,$185.59 ,$180.65 
11/29/2023,$182.31 ,1013346,$183.00 ,$184.28 ,$180.42 
11/28/2023,$182.61 ,845855,$183.00 ,$184.92 ,$182.04 
11/27/2023,$183.04 ,1204475,$182.00 ,$184.49 ,$181.36 
11/24/2023,$181.70 ,499093,$179.22 ,$182.31 ,$178.73 
11/22/2023,$181.20 ,1231020,$179.63 ,$182.50 ,$179.00 
11/21/2023,$178.68 ,1479568,$178.54 ,$180.18 ,$178.01 
11/20/2023,$179.86 ,1319029,$175.04 ,$180.95 ,$175.00 
11/17/2023,$176.05 ,1024280,$175.72 ,$177.02 ,$174.67 
11/16/2023,$175.28 ,1301688,$171.85 ,$176.34 ,$170.62 
11/15/2023,$173.76 ,1248130,$174.43 ,$176.65 ,$173.68 
11/14/2023,$174.41 ,1236119,$174.56 ,$175.00 ,$171.05 
11/13/2023,$171.17 ,1307666,$170.00 ,$173.23 ,$169.02 
11/10/2023,$170.98 ,977414,$169.52 ,$171.67 ,$167.64 
11/9/2023,$170.28 ,1450953,$171.20 ,$175.15 ,$170.21 
11/8/2023,$169.97 ,1403286,$165.87 ,$170.30 ,$164.83 
11/7/2023,$165.50 ,1473976,$168.45 ,$168.77 ,$165.28 
11/6/2023,$167.24 ,1127338,$169.58 ,$169.70 ,$165.59 
11/3/2023,$169.98 ,1370135,$167.50 ,$170.95 ,$167.05 
11/2/2023,$167.31 ,2155118,$170.50 ,$171.00 ,$167.24 
11/1/2023,$167.63 ,1366114,$165.00 ,$167.90 ,$163.65 
10/31/2023,$164.76 ,1566463,$163.03 ,$165.57 ,$161.39 
10/30/2023,$162.67 ,1959277,$161.20 ,$164.27 ,$159.75 
10/27/2023,$159.35 ,1971378,$158.59 ,$162.06 ,$158.10 
10/26/2023,$158.38 ,2981522,$162.75 ,$165.35 ,$155.00 
10/25/2023,$161.82 ,4657773,$169.94 ,$170.50 ,$160.05 
10/24/2023,$170.63 ,7498632,$163.98 ,$173.45 ,$163.00 
10/23/2023,$154.61 ,3272705,$146.06 ,$155.83 ,$145.79 
10/20/2023,$149.92 ,1941871,$149.30 ,$151.45 ,$145.76 
10/19/2023,$149.97 ,1678053,$152.61 ,$154.53 ,$149.56 
10/18/2023,$148.92 ,1736079,$156.00 ,$156.18 ,$148.66 
10/17/2023,$157.33 ,1048604,$157.45 ,$159.36 ,$156.57 
10/16/2023,$158.12 ,1396276,$153.52 ,$158.26 ,$152.79 
10/13/2023,$153.56 ,1759043,$156.86 ,$157.69 ,$152.90 
10/12/2023,$158.12 ,1992673,$159.52 ,$162.46 ,$156.02 
10/11/2023,$156.57 ,1531630,$157.42 ,$159.74 ,$153.31 
10/10/2023,$157.60 ,1601365,$156.21 ,$160.15 ,$155.22 
10/9/2023,$156.45 ,1411991,$155.84 ,$157.83 ,$153.17 
10/6/2023,$160.53 ,1156457,$155.64 ,$161.38 ,$154.83 
10/5/2023,$157.31 ,1299274,$158.73 ,$159.57 ,$154.62 
10/4/2023,$159.58 ,1433610,$154.21 ,$159.98 ,$154.12 
10/3/2023,$154.51 ,1226240,$157.44 ,$159.56 ,$152.32 
10/2/2023,$158.11 ,999236,$155.29 ,$159.61 ,$154.69 
9/29/2023,$154.64 ,1477557,$157.35 ,$158.90 ,$154.52 
9/28/2023,$153.53 ,995393,$150.80 ,$154.55 ,$147.86 
9/27/2023,$153.75 ,703679,$153.33 ,$155.48 ,$152.05 
9/26/2023,$152.36 ,1327392,$154.02 ,$157.00 ,$151.28 
9/25/2023,$155.52 ,1437008,$155.67 ,$156.35 ,$151.49 
9/22/2023,$156.35 ,1206012,$156.38 ,$159.55 ,$155.93 
9/21/2023,$154.06 ,1610986,$158.52 ,$158.79 ,$153.69 
9/20/2023,$160.77 ,1709002,$163.03 ,$167.74 ,$160.71 
9/19/2023,$160.17 ,1282516,$158.50 ,$160.90 ,$156.28 
9/18/2023,$159.24 ,1208843,$157.36 ,$160.20 ,$155.54 
9/15/2023,$158.58 ,1497775,$156.68 ,$158.66 ,$153.91 
9/14/2023,$157.15 ,1491636,$155.29 ,$158.80 ,$154.65 
9/13/2023,$155.49 ,1249619,$153.14 ,$155.57 ,$151.11 
9/12/2023,$154.65 ,1059731,$156.65 ,$158.27 ,$154.02 
9/11/2023,$157.66 ,1102246,$155.99 ,$158.07 ,$154.82 
